P1,P2,Pi,C1,C2,Ci
9167,8927,72,9167,5428,73
9152,3411,73,9269,3411,74
9152,1256,73,9269,1256,74
9117,8981,74,9117,1216,75
4004,8981,74,4004,1216,75
4031,8981,74,4031,1216,75
9152,8981,74,9152,1216,75
9150,8981,74,9150,1216,75
468,8981,74,468,1216,75
9167,8981,74,9167,1216,75
6606,8981,74,6606,1216,75
9650,8981,74,9650,1216,75
8068,8981,74,8068,1216,75
6663,8981,74,6663,1216,75
9099,8981,74,9099,1216,75
9512,8981,74,9512,1216,75
2186,8981,74,2186,1216,75
8804,8981,74,8804,1216,75
9152,8972,75,2045,8972,76
9152,9953,75,2045,9953,76
9152,9925,75,2045,9925,76
9167,8915,76,9167,43,77
9650,8915,76,9650,43,77
2186,9960,77,6616,9960,78
2186,5059,77,6616,5059,78
2186,9433,77,6616,9433,78
2186,1278,77,6616,1278,78
2186,8936,77,6616,8936,78
9152,8972,78,1312,8972,79
9152,8973,78,1312,8973,79
9152,1239,78,1312,1239,79
9152,8915,79,8173,8915,80
9152,9292,79,8173,9292,80
6663,7855,80,4098,7855,81
6663,8927,80,4098,8927,81
6663,9433,80,4098,9433,81
6663,8915,80,4098,8915,81
6663,1278,80,4098,1278,81
9152,8972,81,9152,5983,82
9167,8972,81,9167,5983,82
6663,8972,81,6663,5983,82
9152,3461,82,9152,8153,83
9152,1256,83,59,1256,84
6663,5983,84,9116,5983,85
6663,8915,84,9116,8915,85
6663,8927,84,9116,8927,85
9152,8927,0,9152,8927,1
9646,8927,1,9646,8927,2
9152,8927,1,9152,8927,2
9646,8927,2,9646,8927,3
8775,8927,2,8775,8927,3
9152,8927,2,9152,8927,3
1892,8927,3,1892,8927,4
9646,8927,3,9646,8927,4
8775,8927,3,8775,8927,4
9152,8927,3,9152,8927,4
1892,8927,4,1892,8927,5
9518,8927,4,9518,8927,5
9646,8927,4,9646,8927,5
8775,8927,4,8775,8927,5
9152,8927,4,9152,8927,5
9178,8927,5,9178,8927,6
9518,8927,5,9518,8927,6
9646,8927,5,9646,8927,6
1892,8927,5,1892,8927,6
8775,8927,5,8775,8927,6
9152,8927,5,9152,8927,6
9152,1278,6,9152,1278,7
9178,8927,6,9178,8927,7
9518,8927,6,9518,8927,7
8775,1278,6,8775,1278,7
9646,8927,6,9646,8927,7
1892,1278,6,1892,1278,7
9518,1278,6,9518,1278,7
1892,8927,6,1892,8927,7
9178,1278,6,9178,1278,7
8775,8927,6,8775,8927,7
9152,8927,6,9152,8927,7
9152,1278,7,9152,1278,8
9178,8927,7,9178,8927,8
9518,8927,7,9518,8927,8
8775,1278,7,8775,1278,8
9646,8927,7,9646,8927,8
1892,1278,7,1892,1278,8
9518,1278,7,9518,1278,8
1892,8927,7,1892,8927,8
9152,8915,7,9152,8915,8
9178,1278,7,9178,1278,8
9518,8915,7,9518,8915,8
8775,8927,7,8775,8927,8
9152,8927,7,9152,8927,8
9152,1278,8,9152,1278,9
9178,8927,8,9178,8927,9
9518,8927,8,9518,8927,9
8775,1278,8,8775,1278,9
9178,8972,8,9178,8972,9
9646,8927,8,9646,8927,9
9152,8927,8,9152,8927,9
1892,1278,8,1892,1278,9
9518,1278,8,9518,1278,9
1892,8927,8,1892,8927,9
9152,8915,8,9152,8915,9
9178,1278,8,9178,1278,9
9518,8915,8,9518,8915,9
8775,8927,8,8775,8927,9
9152,8972,8,9152,8972,9
9152,1278,9,9152,1278,10
9178,8927,9,9178,8927,10
9518,8927,9,9518,8927,10
8775,1278,9,8775,1278,10
9178,8972,9,9178,8972,10
9646,8927,9,9646,8927,10
9152,8927,9,9152,8927,10
1892,1278,9,1892,1278,10
9518,1278,9,9518,1278,10
1892,8927,9,1892,8927,10
9152,8915,9,9152,8915,10
9152,8973,9,9152,8973,10
9178,1278,9,9178,1278,10
9518,8915,9,9518,8915,10
8775,8927,9,8775,8927,10
9152,8972,9,9152,8972,10
9152,1278,10,9152,1278,11
9178,8927,10,9178,8927,11
9518,8927,10,9518,8927,11
8775,1278,10,8775,1278,11
9152,9953,10,9152,9953,11
9178,8972,10,9178,8972,11
9646,8927,10,9646,8927,11
1892,1278,10,1892,1278,11
9518,1278,10,9518,1278,11
1892,8927,10,1892,8927,11
9152,8972,10,9152,8972,11
9152,8915,10,9152,8915,11
9152,8973,10,9152,8973,11
9178,9953,10,9178,9953,11
8775,9953,10,8775,9953,11
9178,1278,10,9178,1278,11
9518,8915,10,9518,8915,11
8775,8927,10,8775,8927,11
9152,8927,10,9152,8927,11
9152,1278,11,9152,1278,12
9178,8927,11,9178,8927,12
9518,8927,11,9518,8927,12
9646,8927,11,9646,8927,12
8775,1278,11,8775,1278,12
9152,9953,11,9152,9953,12
9178,8972,11,9178,8972,12
1892,1278,11,1892,1278,12
9518,1278,11,9518,1278,12
1892,8927,11,1892,8927,12
9152,8972,11,9152,8972,12
9152,8915,11,9152,8915,12
9152,8973,11,9152,8973,12
9178,9953,11,9178,9953,12
8775,9953,11,8775,9953,12
9152,1256,11,9152,1256,12
9178,1278,11,9178,1278,12
9518,8915,11,9518,8915,12
9646,1256,11,9646,1256,12
8775,8927,11,8775,8927,12
9152,8927,11,9152,8927,12
9646,8927,12,9646,8927,13
9152,9953,12,9152,9953,13
9178,8972,12,9178,8972,13
9518,8915,12,9518,8915,13
9152,1239,12,9152,1239,13
9178,8927,12,9178,8927,13
8775,1278,12,8775,1278,13
1892,1278,12,1892,1278,13
9152,8915,12,9152,8915,13
9152,8973,12,9152,8973,13
8775,8927,12,8775,8927,13
9152,8927,12,9152,8927,13
9152,1278,12,9152,1278,13
9152,8972,12,9152,8972,13
9518,8927,12,9518,8927,13
1892,8927,12,1892,8927,13
9178,1278,12,9178,1278,13
9646,1256,12,9646,1256,13
9518,1278,12,9518,1278,13
9178,9953,12,9178,9953,13
8775,9953,12,8775,9953,13
9152,1256,12,9152,1256,13
9646,8927,13,9646,8927,14
9178,8972,13,9178,8972,14
9152,9953,13,9152,9953,14
9518,8915,13,9518,8915,14
9152,1239,13,9152,1239,14
9178,8927,13,9178,8927,14
8775,1278,13,8775,1278,14
1892,1278,13,1892,1278,14
9152,8915,13,9152,8915,14
9152,8973,13,9152,8973,14
8775,8927,13,8775,8927,14
9152,8972,13,9152,8972,14
9152,1278,13,9152,1278,14
9152,8927,13,9152,8927,14
9518,8927,13,9518,8927,14
1892,8927,13,1892,8927,14
9152,9960,13,9152,9960,14
9178,1278,13,9178,1278,14
9646,1256,13,9646,1256,14
9518,1278,13,9518,1278,14
9178,9953,13,9178,9953,14
8775,9953,13,8775,9953,14
9152,1256,13,9152,1256,14
9152,9953,14,9152,9953,15
9178,8972,14,9178,8972,15
9646,8927,14,9646,8927,15
9518,8915,14,9518,8915,15
9152,1239,14,9152,1239,15
9178,8927,14,9178,8927,15
8775,1278,14,8775,1278,15
1892,1278,14,1892,1278,15
9152,8915,14,9152,8915,15
9152,8973,14,9152,8973,15
8775,8927,14,8775,8927,15
9152,8927,14,9152,8927,15
9152,1278,14,9152,1278,15
9152,8972,14,9152,8972,15
9518,8927,14,9518,8927,15
9152,8900,14,9152,8900,15
1892,8927,14,1892,8927,15
9152,9960,14,9152,9960,15
9178,1278,14,9178,1278,15
9646,1256,14,9646,1256,15
9518,1278,14,9518,1278,15
9178,9953,14,9178,9953,15
8775,9953,14,8775,9953,15
9152,1256,14,9152,1256,15
9152,9953,15,9152,9953,16
9178,8972,15,9178,8972,16
9646,8927,15,9646,8927,16
9518,8915,15,9518,8915,16
9152,1239,15,9152,1239,16
9178,8927,15,9178,8927,16
